trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
29,55.00,0.274,Clay_Index;Fe_Composite_Index;BSI;TCG;Open_3;GLCM_SR_B6_contrast_3;TCB;MNDWI;NDMI;GLCM_SR_B6_idm_7;TCW;GLCM_SR_B6_ent_7;GLCM_SR_B6_var_3;WDI;NDWI,OK
30,56.33,0.284,Fe_Composite_Index;GLCM_SR_B6_contrast_3;NDBI;NDVI;MNDWI;GLCM_SR_B6_idm_7;WDI;Fe_Oxide_Index;GLCM_SR_B5_var_3;TCB;GLCM_SR_B6_ent_7;Granulo_7;Clay_Ratio;NDMI;GLCM_SR_B6_contrast_7,OK
31,56.67,0.287,MNDWI;GLCM_SR_B6_idm_3;Fe_Composite_Index;Granulo_7;SAVI;GLCM_SR_B6_var_3;TCG;NDWI;EVI;Open_3;NDBI;Close_3;TNDI;BSI;NDMI,OK
32,56.67,0.286,TCI;Close_3;NDVI;Clay_Index;NDBI;Granulo_7;GLCM_SR_B6_contrast_3;Fe_Composite_Index;GLCM_SR_B5_contrast_3;GLCM_SR_B7_contrast_3;TCB;MNDWI;WDI;GLCM_SR_B6_idm_3;Fe_Oxide_Index,OK
33,57.00,0.289,NDVI;GLCM_SR_B6_ent_3;TCW;GLCM_SR_B6_contrast_3;NDBI;GLCM_SR_B5_contrast_3;NBLI;WDI;Close_3;GLCM_SR_B7_contrast_3;Granulo_7;Clay_Index;Clay_Ratio;MNDWI;GLCM_SR_B6_ent_7,OK
34,55.67,0.279,BSI;GLCM_SR_B6_ent_7;TNDI;TCW;TCG;Close_3;GLCM_SR_B6_idm_7;Clay_Ratio;EVI;WDI;NDBI;MNDWI;TNR;GLCM_SR_B5_contrast_7;GLCM_SR_B6_ent_3,OK
35,56.33,0.293,Fe_Composite_Index;Fe_Oxide_Index;Clay_Index;SAVI;GLCM_SR_B5_var_3;TCI;GLCM_SR_B6_ent_7;TCB;Granulo_7;NDWI;GLCM_SR_B6_contrast_7;BSI;TNDI;GLCM_SR_B5_contrast_3;MNDWI,OK
36,56.33,0.284,Close_3;GLCM_SR_B6_contrast_3;NDBI;Fe_Oxide_Index;GLCM_SR_B7_contrast_3;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_3;NBLI;Clay_Ratio;GLCM_SR_B6_idm_7;NDVI;GLCM_SR_B5_contrast_7;GLCM_SR_B6_ent_7;NDMI;TCG,OK
37,60.33,0.314,Open_3;GLCM_SR_B5_contrast_7;GLCM_SR_B6_ent_3;TCB;Close_3;TNDI;GLCM_SR_B6_var_3;BSI;Granulo_7;NDWI;TNR;SAVI;GLCM_SR_B6_idm_7;EVI;GLCM_SR_B6_contrast_3,OK
38,56.33,0.284,NDWI;GLCM_SR_B6_contrast_7;Fe_Oxide_Index;MNDWI;EVI;Granulo_7;TNDI;GLCM_SR_B6_contrast_3;TCI;WDI;GLCM_SR_B6_ent_3;NDBI;GLCM_SR_B5_contrast_7;Open_3;NDVI,OK
39,55.67,0.279,MNDWI;GLCM_SR_B6_ent_7;TCW;TNR;GLCM_SR_B6_var_3;NDVI;NBLI;Clay_Index;GLCM_SR_B5_var_3;EVI;WDI;Fe_Composite_Index;NDWI;TCG;TNDI,OK
40,55.33,0.277,Clay_Index;TNR;SAVI;NDWI;TCW;Open_3;GLCM_SR_B6_contrast_3;NDVI;Fe_Oxide_Index;GLCM_SR_B6_idm_7;NBLI;GLCM_SR_B6_contrast_7;GLCM_SR_B7_contrast_3;Clay_Ratio;GLCM_SR_B5_var_3,OK
41,57.67,0.294,GLCM_SR_B6_contrast_3;GLCM_SR_B5_contrast_3;TNR;BSI;Clay_Index;TCB;GLCM_SR_B7_contrast_3;NDVI;GLCM_SR_B6_ent_7;SAVI;GLCM_SR_B6_idm_7;TCI;Close_3;TNDI;Granulo_7,OK
42,55.67,0.279,Clay_Index;TNR;Fe_Oxide_Index;TCG;Open_3;MNDWI;Clay_Ratio;GLCM_SR_B6_ent_7;GLCM_SR_B5_var_3;BSI;Close_3;TCB;Fe_Composite_Index;TCI;GLCM_SR_B7_contrast_3,OK
43,57.00,0.289,BSI;SAVI;NDMI;TCG;NDVI;GLCM_SR_B6_idm_7;TCI;EVI;WDI;GLCM_SR_B6_ent_3;GLCM_SR_B6_ent_7;GLCM_SR_B6_var_3;GLCM_SR_B5_var_3;TNDI;GLCM_SR_B6_contrast_3,OK
44,59.33,0.306,TNR;Clay_Index;GLCM_SR_B6_idm_7;Fe_Composite_Index;BSI;Clay_Ratio;TNDI;GLCM_SR_B6_contrast_7;EVI;GLCM_SR_B5_contrast_7;Fe_Oxide_Index;GLCM_SR_B6_contrast_3;TCI;GLCM_SR_B5_var_3;GLCM_SR_B5_contrast_3,OK
45,57.00,0.289,GLCM_SR_B6_idm_3;GLCM_SR_B5_contrast_3;TCW;NDVI;MNDWI;TCI;TNR;TNDI;SAVI;NDMI;NBLI;GLCM_SR_B6_ent_7;Open_3;NDBI;Clay_Index,OK
46,57.33,0.291,Fe_Composite_Index;NDMI;Fe_Oxide_Index;NDBI;EVI;GLCM_SR_B6_idm_7;Open_3;Clay_Ratio;NBLI;GLCM_SR_B7_contrast_3;GLCM_SR_B6_idm_3;WDI;GLCM_SR_B5_contrast_3;MNDWI;TCW,OK
47,59.00,0.301,MNDWI;TNR;GLCM_SR_B5_contrast_3;GLCM_SR_B7_contrast_3;EVI;GLCM_SR_B6_ent_7;TCW;Open_3;NDMI;NDBI;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_3;TCI;SAVI;GLCM_SR_B5_contrast_7,OK
48,56.67,0.287,GLCM_SR_B5_var_3;Fe_Composite_Index;NDMI;NBLI;GLCM_SR_B5_contrast_3;TCG;GLCM_SR_B6_var_3;NDVI;SAVI;BSI;TCW;GLCM_SR_B7_contrast_3;Open_3;Fe_Oxide_Index;Close_3,OK
49,56.33,0.283,TNR;GLCM_SR_B5_contrast_3;EVI;Clay_Ratio;GLCM_SR_B6_var_3;SAVI;Granulo_7;TCI;GLCM_SR_B6_idm_7;MNDWI;GLCM_SR_B6_ent_3;BSI;NBLI;GLCM_SR_B6_ent_7;GLCM_SR_B7_contrast_3,OK
50,60.33,0.311,TCW;WDI;GLCM_SR_B7_contrast_3;GLCM_SR_B6_idm_3;GLCM_SR_B6_ent_3;GLCM_SR_B6_ent_7;EVI;NDBI;Close_3;GLCM_SR_B6_contrast_3;BSI;NDMI;Fe_Oxide_Index;Clay_Ratio;Granulo_7,OK
51,57.33,0.291,SAVI;TCI;GLCM_SR_B6_contrast_7;GLCM_SR_B5_contrast_3;NBLI;TCW;Clay_Ratio;GLCM_SR_B5_contrast_7;NDMI;TNR;GLCM_SR_B7_contrast_3;Clay_Index;GLCM_SR_B6_contrast_3;TCG;Fe_Oxide_Index,OK
52,55.00,0.277,Clay_Ratio;TCW;MNDWI;GLCM_SR_B7_contrast_3;NDMI;GLCM_SR_B6_contrast_3;GLCM_SR_B5_var_3;TCI;Clay_Index;GLCM_SR_B6_ent_3;Granulo_7;GLCM_SR_B6_idm_3;TCG;Close_3;GLCM_SR_B5_contrast_7,OK
